"","x"
"Q23R5","Goals - Improve productivity"
"Q23R6","Goals - Reduce costs"
"Q23R7","Goals - Accelerate the digital transformation"
"Q23R8","Goals - Strengthen trust with third parties"
"Q23R9","Goals - Enable the workforce to become global"
"Q23R10","Goals - Improve customer experience"
"Q23R11","Goals - Improve workforce experience"
"Q24R1","Maturity - IAM (general answer)"
"Q24R2","Maturity - Workforce IAM"
"Q24R3","Maturity - 3rd Party IAM"
"Q24R4","Maturity - Customer IAM"
"Q24R5","Maturity - IoT IAM"
"Q24R6","Maturity - PAM / TAM"
"Q25","Perf - IAM performance measurement"
"Q26A1","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - I decide what indicat"
"Q26A2","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - I design indicators"
"Q26A3","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - I collect, clean and"
"Q26A4","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - I report indicators"
"Q26A5","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - I analyse or use indi"
"Q26A6","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - Other"
"Q26A7","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - Not applicable or I d"
"Q26_O","What role(s) do you play in relation to IAM performance indicators in your organization? - Other"
"Q27R1","IndDesign - They genuinely reflect performance"
"Q27R2","IndDesign - They are clearly defined"
"Q27R3","IndDesign - They are objective"
"Q27R4","IndDesign - They are actionable"
"Q27R5","IndDesign - They are focused on long-term improvement"
"Q27R6","IndDesign - They are aligned with the organization strategic goals"
"Q27R7","IndDesign - They provide valuable insights that help top management lead the IAM strategy"
"Q27R8","IndDesign - They provide valuable insights that help IAM management supervise the IAM operational processes"
"Q27R9","IndDesign - They provide valuable insights that help IAM process workers manage their daily work"
"Q28R1","IndFrame - Every indicator has an owner"
"Q28R2","IndFrame - The data collection procedure is documented"
"Q28R3","IndFrame - The computation methods or formula are documented"
"Q28R4","IndFrame - Guidelines are provided to help stakeholders interpret indicators"
"Q28R5","IndFrame - Indicator limitations or imprecision are transparently disclosed"
"Q28R6","IndFrame - Every reported number may be traced back to its data source"
"Q29R1","IndComm - Guidelines are provided to help stakeholders understand and interpret indicators"
"Q29R2","IndComm - Indicators are made largely available to all stakeholders within the organization"
"Q29R3","IndComm - Indicators are well known and understood by top management"
"Q29R4","IndComm - Indicators are well known and understood by IAM management"
"Q29R5","IndComm - Indicators are well known and understood by IAM process workers"
"Q30","Auto - What is the degree of automation of data collection, computation and reporting of IAM performance indicators in y"
"Q31R1","Dims - IAM processes throughput (e.g. volumes of items processed per period of time)"
"Q31R2","Dims - IAM processes speed or compliance with SLA requirements"
"Q31R3","Dims - IAM direct costs"
"Q31R4","Dims - IAM total costs (e.g. TCO)"
"Q31R5","Dims - Compliance with IAM policy requirements"
"Q31R6","Dims - IAM related security incidents / data breaches"
"Q31R7","Dims - Organization productivity (e.g. staff on-boarding efficiency)"
"Q31R8","Dims - IAM users / clients satisfaction"
"Q31R9","Dims - Scope of IAM technological deployments (e.g. SSO, MFA, etc.)"
"Q31R10","Dims - Residual IAM risk level (e.g. consolidated from risk management)"
"Q32","LeadLag - In your organization, how are your IAM performance indicators balanced between leading and lagging indicators?"
"Q33R1","Top3 - Please describe the top 3 most valuable IAM performance indicators you have encountered in your career.Indicator"
"Q33R2","Top3 - Indicator 2"
"Q33R3","Top3 - Indicator 3"
"Q34","Negative - Have you observed counter-productive or negative effects related to the usage of IAM performance indicators i"
"Q35","IndNumber - How many IAM performance indicators does your organization actively uses? You may provide an estimate. "
"Q36","Difficulty - What barriers or difficulties have you encountered when designing, deploying, reporting and managing IAM pe"
"Q37","Advise - What would be your key advises to someone who would initiate an IAM performance measurement program?"
"Q38","Bench1 - Did your organization benchmarked its IAM performance with peer organizations?"
"Q39","Standard - Do you believe your organization would benefit from using standardized IAM performance indicators?"
"Q40","Bench2 - Do you believe your organization would benefit from benchmarking its IAM performance with peer organizations?"
"Q41","Else - Would you like to share with us anything else you feel that is of importance in relation to IAM performance measu"
